Team,Division,Wins,Losses,Ties
Y-D,East,3,0,0
Harwich,East,2,1,0
Brewster,East,1,2,0
Chatham,East,0,3,0
Orleans,East,1,2,0
Bourne,West,1,1,1
Hyannis,West,1,2,0
Falmouth,West,2,1,0
Cotuit,West,2,0,1
Wareham,West,1,2,0
