Team,Division,Wins,Losses,Ties
Y-D,East,13,1,0
Harwich,East,9,5,0
Brewster,East,8,5,1
Chatham,East,7,6,1
Orleans,East,4,10,0
Bourne,West,6,5,3
Hyannis,West,5,9,0
Falmouth,West,6,7,1
Cotuit,West,5,7,2
Wareham,West,3,11,0
