Team,Division,Wins,Losses,Ties
Y-D,East,15,1,1
Harwich,East,12,5,0
Brewster,East,10,6,1
Chatham,East,8,7,2
Orleans,East,6,11,0
Bourne,West,6,8,3
Hyannis,West,7,10,0
Falmouth,West,7,9,1
Cotuit,West,5,10,2
Wareham,West,4,13,0
