Team,Division,Wins,Losses,Ties
Y-D,East,7,1,0
Harwich,East,5,3,0
Brewster,East,5,3,0
Chatham,East,4,4,0
Orleans,East,2,6,0
Bourne,West,3,3,2
Hyannis,West,3,5,0
Falmouth,West,4,3,1
Cotuit,West,3,4,1
Wareham,West,2,6,0
