Team,Division,Wins,Losses,Ties
Yarmouth-Dennis,East,19,2,1
Harwich,East,13,9,0
Brewster,East,14,7,1
Chatham,East,10,10,2
Orleans,East,6,16,0
Bourne,West,10,9,3
Hyannis,West,10,12,0
Falmouth,West,9,11,1
Cotuit,West,8,12,2
Wareham,West,5,16,0
